Product,ID,Original_text
Наушники беспроводные Sony WH-CH520,1,"Великолепные наушники. Куплены вслед за моделью CH-510, которая проявила себя в высшей степени достойно. Модель CH-520 выполнена очень качественно и аккуратно. Великолепный чистый звук. От неё ожидаю долгой автономной работы, износостойкости и долгого срока службы. Доставка была выполнена безупречно."
Наушники беспроводные Sony WH-CH520,2,"Хороший звук, удобное приложение с эквалайзером. Зарядку держат очень долго, дня 4 держал 70% заряда из коробки. Уши долго не устают, удобные. Корпус качественно выполнен, приятно ощущаются в руках и на ушах."
Наушники беспроводные Sony WH-CH520,3,"наушники отличные , Вьетнам. в магазине дороже брать , но в магазине по русски разговаривает при подключении, а эти на иностранном языке. выбор пал на них из-за микрофона, все что слушали по звонку,ниче неслышно, беда всех наушников , эти и бюджетные и слышно все при разговоре."
Наушники беспроводные Sony WH-CH520,4,"отличные наушники за свои деньги. Сопряжение моментально, сразу предлагают скачать приложение для сони,типа эквалайзера. Звук чистый, много функций, батареи на 2 недели хватает как минимум. Удобно на голове носить. Мы довольны, рекомендую!"
Наушники беспроводные Sony WH-CH520,5,"Все отлично,доставки в указанные даты. Качество и звук Сони..,с приложением работает(настройки, эквалайзер и тд). Звук очень достойный,прогреются думаю получше заиграют"
Наушники беспроводные Sony WH-CH520,6,"Упаковка очень качественная, наушники работают идеально, продавец помог их подключить сразу за пару секунду. Это просто супер за такие деньги такой товар. Однозначно рекомендую"
Наушники беспроводные Sony WH-CH520,7,"Прекрасные наушники, звук отличный. Миниатюрные, поэтому на большой голове давят, рекомендую примерять при получении. Приобрели в подарок, дома померяли, но оказалось не по размеру. Прекрасный продавец, пошел навстречу, решили проблему, рекомендую продавца"
Наушники беспроводные Sony WH-CH520,8,"Очень плохой звук, не советую к покупке, звук прям ерунда, проблемы с подключением, только через преложение на прямую с блютуз не подключаются, деньги на ветер жаль"
Наушники беспроводные Sony WH-CH520,9,"Наушники просто топовые за свою цену! Заряд держат очень долго (после 7 часов активного использования в такси и самолёте осталось ещё 50%), громкие, звук качественный (если слушаете тяжеляк и прочую фигню с миллионом дорожек, они потянут), ещё и можно под себя настроить, если скачаете приложение. На голову не давят, регулируются, я ношу с зажившим индастриалом и всё окей. Короче, большое спасибо, надеюсь, будут служить ещё долго"
Наушники беспроводные Sony WH-CH520,10,"звук хороший, чистый приятно слушать ещё понравился минималистичным дизайном Долго держит заряд. Покупкой довольна! Уши немного болят после долгой носки, но это не критично"
